"subject","item","age","condition","RTs"
12,11,22,"2",1063
8,2,22,"1",1065
18,3,24,"2",1065
7,20,24,"2",1070
10,9,26,"1",1072
20,11,28,"1",1078
19,26,18,"2",1079
25,4,28,"2",1087
19,10,18,"1",1088
19,24,18,"2",1089
8,6,22,"1",1090
10,3,26,"2",1090
6,29,27,"1",1091
9,9,27,"1",1091
9,29,27,"2",1095
5,4,26,"2",1097
19,10,18,"2",1100
8,30,22,"1",1103
7,12,24,"2",1106
10,7,26,"1",1113
5,10,26,"1",1114
7,12,24,"1",1116
4,29,29,"2",1122
4,15,29,"1",1126
7,18,24,"1",1126
10,29,26,"2",1130
3,24,29,"2",1132
10,27,26,"2",1144
12,17,22,"1",1149
3,28,29,"1",1150
10,27,26,"1",1156
6,23,27,"2",1156
8,24,22,"2",1161
3,14,29,"1",1167
14,29,29,"2",1169
14,29,29,"1",1170
6,1,27,"1",1171
26,7,28,"1",1172
25,10,28,"1",1176
3,12,29,"2",1176
10,23,26,"2",1188
19,24,18,"1",1192
5,2,26,"2",1196
12,13,22,"1",1202
19,12,18,"2",1202
23,24,24,"2",1204
25,24,28,"2",1205
7,16,24,"2",1207
12,23,22,"1",1216
21,10,27,"1",1219
7,18,24,"2",1219
26,27,28,"2",1219
15,6,25,"2",1221
14,13,29,"1",1231
14,21,29,"2",1236
6,29,27,"2",1241
26,29,28,"1",1243
26,1,28,"2",1243
3,30,29,"2",1249
11,26,48,"2",1254
13,22,22,"1",1259
13,22,22,"2",1265
7,8,24,"1",1267
3,6,29,"2",1268
7,28,24,"2",1268
25,14,28,"2",1268
15,6,25,"1",1269
21,18,27,"1",1270
11,10,48,"1",1275
3,24,29,"1",1276
12,23,22,"2",1277
15,18,25,"1",1280
21,6,27,"1",1282
20,5,28,"1",1283
15,16,25,"2",1286
4,15,29,"2",1291
20,7,28,"2",1291
12,11,22,"1",1296
15,10,25,"2",1300
25,30,28,"2",1304
17,20,27,"1",1306
12,21,22,"2",1317
15,20,25,"2",1319
10,21,26,"1",1322
12,19,22,"1",1322
10,19,26,"2",1326
14,23,29,"2",1335
7,14,24,"1",1336
26,27,28,"1",1341
12,7,22,"2",1348
6,9,27,"1",1352
